Frase,Polaridad,Subjetividad,Negativo,Neutro,Positivo,Compuesto
the gob month ago go issu law avoid crowd anoth urgenc resourc the ,0.0,0.0,0.845,0.155,0.0,-0.296
onli mediocr ignor public offici think say need vaccin countri ,0.0,0.06666666666666667,1.0,0.0,0.0,0.0
either sanchez revok health emerg he also go eat bass ,-0.15000000000000002,0.5,1.0,0.0,0.0,0.0
today wednesday said receiv russia second remedi coronavirus communistdast ,0.0,0.0,1.0,0.0,0.0,0.0
new cultur council the cultur council a preponder actor way capit govern ,0.13636363636363635,0.45454545454545453,1.0,0.0,0.0,0.0
a glut covid vaccin loom rich world poor countri lost internaci ,-0.012500000000000011,0.675,0.355,0.432,0.213,-0.4019
yes press attend administr face crisi aros 1 russian plot ,0.0,0.0,0.748,0.0,0.252,0.4019
fals report want repeal entir protect system group constant danger escala ,0.0,0.3333333333333333,0.523,0.222,0.255,-0.128
fals report want repeal entir protect system group constant danger escala ,0.0,0.3333333333333333,0.523,0.222,0.255,-0.128
peronist alway surpass is anyth wors herminio drawer if turnip maximum laugh dead ,0.04999999999999999,0.25,0.582,0.228,0.19,-0.1779
spain touch medium risk covid19 ad 5618 new infect 81 death ,0.13636363636363635,0.45454545454545453,0.6,0.4,0.0,-0.7184
the total accumul confirm case covid19 mexico today wednesday septemb 8 3465171 15876 ,0.0,0.75,1.0,0.0,0.0,0.0
vtvcanal8 venezuela who evalu progress polici covid19 countri vaccinatenow ,0.0,0.0,0.741,0.0,0.259,0.4215
although limit resourc fear esperanza para todo shelter born month ago border ,0.0,0.0,0.775,0.225,0.0,-0.4939
son thousand whore maximokirchn i know give damn least i pretend littl empathi ,-0.3,0.4,0.491,0.43,0.08,-0.772
ronald carreño transfer urgent clinic hypertens covid19 ,0.0,0.0,0.769,0.0,0.231,0.2023
know let take care ourselv prevent vital cne rector enriqu marquez test posit covid19 ,0.1,0.4,0.629,0.0,0.371,0.6705
3000 canadian nurs threaten resign lie told offic hospit full vac ,0.35,0.55,0.643,0.357,0.0,-0.6124
in 24 hour mexico document 879 death 15876 new infect ,0.13636363636363635,0.45454545454545453,0.698,0.302,0.0,-0.5994
covid19 from monday septemb 13 vaccin adolesc age 14 resum also begin ,0.0,0.0,1.0,0.0,0.0,0.0
mexico last 24 hour 2nd countri world death covid 879 usa regist ,0.0,0.03333333333333333,0.738,0.262,0.0,-0.5994
find the bolivarian govern tripl vaccin effort protect venezuelan peopl covid ,0.0,0.0,0.794,0.0,0.206,0.3818
covid xfavor alreadi finish i want live normal life ,0.1431818181818182,0.575,0.843,0.0,0.157,0.0772
